Subject,CB,StandardProblem,StandardAcc,StandardResp,StandardAccLast,StandardRespLast,StandardStr,ControlAcc,ControlResp,ControlAccLast,ControlRespLast,ControlStr,StandardConfidence,StandardConfidenceStr,ControlConfidence,ControlConfidenceStr,StandardOpinion,StandardOpinionStr,ControlOpinion,ControlOpinionStr
216,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.95,95%,0.95,95%,0.65,65%,0.75,75%
217,2b,PE,1,0.05,1,0.05,The eraser costs $.05,1,0.9,1,0.9,The banana costs $.90,0.0005,I am 100% sure that the eraser costs $.05,0.009,I am 100% sure that the banana costs $.90,0.2,I believe only 20% of the people will be able to answer correctly,1,I believe 100% of the people answered correctly
218,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.9,90%,0.9,90%
219,2b,PE,1,5,1,5,5 cents,1,0.9,1,0.9,.90 cents,0.9,90%,0.95,95%,0.55,55%,0.75,75%
220,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.85,85,0.75,75
221,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.5,50%,1,100%,0.35,35%,0.75,75%
222,2b,PE,1,0.05,0,0.06,".05 or .06 cents, I can't remember exactly",1,0.9,1,0.9,.90 cents,0.65,65%,1,100%,0.4,40%,0.8,80%
223,2b,PE,1,5,0,10,"It would be 5 cents, but since I know it can’t possibly be correct, my next guess would have to be 10 cents because there must have been some kind of trick to it that made me round it up last time or something like that.",1,90,1,90,90 cents,0.05,About 80% now. I changed it because originally it was 5 cents for the eraser which makes no sense at all.,1,100%,0.4,Maybe less than half... I'd say around 40% if I had to guess.,0.7,"I think more than half, like maybe 70%, so 70%."
224,2b,PE,0,,0,,I can’t say for certain as I would need additional information,1,0.9,1,0.9,The banana costs $0.90,0.5,50,0.75,75,0.3,30,0.65,65
225,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
226,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
227,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.85,85%,0.75,75%
228,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.7,70%,0.9,90%
229,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.5,50%
230,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.3,30%,0.5,50%
231,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.6,60%,1,100%,0.3,30%,0.5,50%
232,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.9,90%
233,2b,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,0.7,70,1,100,0.45,45,0.85,85
234,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.85,85%,0.75,75%
235,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.7,70%,0.95,95%,0.3,30%,0.7,70%
236,2b,PE,0,0.1,0,1.1,Eraser = .10 and pencil = $1.10,1,90,1,90,90 cents,0.6,"Pencil = 100%, eraser = 60%",1,100%,0.75,75%,0.95,95%
237,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.65,65%,0.95,95%
238,2b,PE,0,0.5,0,0.5,"$.50 cents. Because one dollar minus fifty cents is half a dollar for the price difference of pencil and rubber, with rubber being cheaper than the pencil by half dollar, or .50cents.",1,0.9,1,0.9,$.90,1,"I am 100% certain that my answer was correct, so I don't have doubts.",1,I am 100 percent sure.,0.67,"Most likely at least 67%.  But surely there would be those who think wrongly, but many must have solved this correctly as its easy, isn't it!  So perhaps most probably eighty-nine percent will give right answer.",,"At least ninety nine out of hundred, I believe."
239,2b,PE,1,0.05,0,1.05,Eraser costs $0.05 cents; pencil costs $1.05. (Correct),1,0.9,1,0.9,The Banana cost $0.90cents. (Correct),0.95,My answer has a 95% certainty.,1,I am 100% confident my answer is correct.,0.45,Maybe less than half i.e 45%.,0.5,I would say 50%.
240,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
241,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.85,85%
242,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.6,60%,0.8,80%
243,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,0.9,90%,0.6,60%,0.8,80%
244,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90%,0.95,95%,0.7,70%,0.8,80%
245,1a,PE,0,0.1,0,0.1,"I think it's .10 cents because if the pencil was a dollar more then that would be $1.20 but since it's only .10 difference, the eraser would be .10 cents.",1,0.9,1,0.9,The banana costs .90 cents.,0.95,95%.,1,100%.,0.75,75%,0.8,80%.
246,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.2,20%,0.6,60%
247,1a,PE,1,5,1,5,"5 cents, because the eraser is .10 and the pencil is 1 dollar or 100 cents, so 100-95 equals 5.",1,90,1,90,This one’s easy too. The banana costs 90 cents.,1,100%. I used algebraic reasoning.,1,"Again, 100%. I just did the subtraction.",0.5,I think that maybe about half the people would get it right. So around 50%.,0.75,"Hmmm…I guess around 75%, because some people may have trouble with basic math."
248,1a,PE,0,0.5,0,0.5,.50 cents,1,0.9,1,0.9,.90 cents,0.9,90,0.95,95,0.5,50,0.75,75
249,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.99,99%,0.95,95%,0.4,40%,0.7,70%
250,1a,PE,0,0.1,0,1.1,".10 cents because if you add .90 (pencil) + .10 (eraser) = $1.00, so $1.00 + $.10 (the extra for the pencil) would equal $1.10",1,0.9,1,0.9,$.90,0.75,75%,0.85,85%,0.6,60%,0.9,90%
251,1a,PE,0,0.1,0,0.1,"Eraser costs .10 cents. The answer they give when asked ""How did you get that?"" will be recorded for analysis later.",1,0.9,1,0.9,Banana costs .90 cents. The answer will again be recorded for later.,0.95,95%,0.95,95%,0.2,20%. The answer they gave will again be recorded.,0.8,80%. This too is recorded for analysis.
252,1a,PE,1,5,0,1.05,"Eraser = 5 cents, pencil = $1.05 (The most common wrong answer)",1,90,1,90,90 cents,0.63,63%,0.75,75%,0.25,25%,0.4,40%
253,1a,PE,0,0.9,0,0.9,.90,1,90,1,90,90,1,100,0.9,90,0.8,80,0.5,50
254,1a,PE,0,0.1,0,1.1,"Eraser Costs $.10, Pencil Costs $1.00 + .10 = $1.10",1,0.9,1,0.9,Banana costs $.90,0.99,99,0.99,99,0.51,51,0.55,55
255,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
256,1a,PE,1,0.05,0,1.05,"Eraser costs $.05, Pencil costs $1.05",1,0.9,1,0.9,Banana costs $.90,0.9,90%,1,100%,0.7,70%,0.8,80%
257,1a,PE,0,0.1,0,0.1,.10 cents,1,90,1,90,90 cents,0.95,95%,0.9,90%,0.75,75%,0.6,60%
258,1a,PE,0,0.1,0,0.1,.10 cents,1,0.9,1,0.9,.90 cents,1,100%,1,100%,0.5,50%,0.75,75%
259,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.75,75%,0.8,80%
260,1a,PE,1,5,0,100,"Eraser cost 5 cents, Pencil cost 1 dollar and 5 cents (105 cents - 100 cents)",1,90,1,90,Banana cost 90 cents,0.99,99%,0.99,99%,0.6,60%,0.7,70%
261,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.95,95%,0.95,95%,0.7,70%,0.85,85%
262,1a,PE,1,0.05,1,0.05,"Eraser costs $.05, Pencil costs $1.05.  It's a trick question because it doesn't say that they only have a dime for change.  So I added .05 to the pencil to make it one dollar more expensive.",1,0.9,1,0.9,Banana costs $.90.,0.67,67%,0.98,98%,0.25,25%. I know many people who get confused by this problem when they think there's only a dime for change.,0.8,80%. It seems straightforward enough that some people might still miss it though.
263,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.9,90%,0.7,70%,0.9,90%,0.6,60%
264,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,0.95,95%,0.99,99%,0.75,75%,0.9,90%
265,1a,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.95,95,1,100
266,1a,PE,1,5,1,5,5 cents,1,90,1,90,90 cents,0.9,90 percent,0.85,85 percent,0.9,90 percent,0.9,90 percent
267,1a,PE,0,0.95,0,0.95,.95,1,0.9,1,0.9,0.90,1,100,0.98,98,0.35,35,0.95,95
268,1a,PE,0,0.95,0,0.95,.95,1,0.9,1,0.9,.90,1,100,0.9,90,0.7,70,0.4,40
269,1a,PE,0,0.1,0,1.1,.10 cents (or .1 dollars). If we let x represent the cost of an eraser then pencil=x+$1 which adds up to be equal to $1.10,0,2,1,90,Subtracting $2 from the total cost gives us $0.90 cents or 90 cents/dollars as our answer,1,I am totally sure that it’s $0.10 so I would say my confidence is at 100%.,1,Similar to before I am quite certain that I have done the math right so I am going to rate my confidence again at 100%.,-0.95,"I think most people get this one right, even those who aren’t naturally good with numbers, so I guess around 85-95%. Maybe some people put in round figures like “a dime” but that doesn't make them wrong. Just less accurate for the purpose of this questionnaire haha",0.05,"Again, I believe many would arrive at this simple solution since there is only subtraction involved so perhaps close to 90%, give or take 5%?"
270,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
271,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
272,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.85,85%,0.95,95%
273,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
274,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.8,80%,0.95,95%
275,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.95,95%,0.95,95%,0.65,65%,0.7,70%
276,1b,BM,0,2.9,0,2.9,"The banana costs thirty cents and the magazine costs three dollars. This is because if the magazine were two dollars, then the total would only be five dollars which is too little for the actual total of $2.90. If the magazine were four dollars, then the total would be six dollars which is too much for the actual total of $2.90. Therefore, the magazine must cost two dollars plus the difference between the actual total and the price of the magazine.",0,,0,,"The eraser costs ten cents, because if the pencil costs one dollar, then the difference would be ten cents.",0.85,I am 85% sure that my answer is correct.,0.95,I am 95% sure that my answer is correct.,0.6,I believe that 60% of people answered correctly.,0.7,I believe that 70% of people answered correctly.
277,1b,BM,0,,0,,"Okay, so this time the magazine has to be two dollars more expensive than the banana.  If the magazine was three dollars, then the banana would have to be one dollar, which makes the total price one dollar less than stated.  So the magazine must be four dollars.  Then the banana would cost one dollar.",0,,0,,"It would make sense for the eraser to be ten cents if the pencil is a dollar, but that doesn't match the first statement, so I don't know.",0.85,85%.,0.5,50%.,0.6,60%.,0.3,30%.
278,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.98,98,0.99,99
279,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.85,85%,0.9,90%
280,1b,BM,0,,0,,Fifty cents.,0,,0,,Ten cents.,0.85,85%,0.9,90%,0.8,80%,0.67,67%
281,1b,BM,1,0.45,0,0.9,$0.45 for the banana.  Again I just used arithmetic; added two to .90 and then divided by two.,1,0.1,1,0.1,"$.10, I subtracted the price of the pencil from the total.",0.98,"98%.  Math is not my best subject, but simple arithmetic usually isn't a big deal.",0.95,"95%, it’s an easy problem, but there might be something weird I am missing.",0.6,Probably at least 60%.  You only needed basic algebra and most high school students should remember that.,0.75,At least 75%.  It was easy and required basic arithmetic.
282,1b,BM,1,0.45,1,0.45,$.45 cents,1,0.1,1,0.1,0.10 cents,0.95,95%,0.95,95%,0.67,67%,0.99,99%
283,1b,BM,0,1,0,1,"$1. Banana costs $1 because that's $2 less than $3 and magazine is costing $3 which is $2 more than $1, as asked!",1,0.1,1,0.1,0.10 cents,1,100%. I calculated carefully for this one!,1,"100%. It was a straight forward question with only one possible answer, right?",0.85,"85%, though quite challenging still a simple question and easy to understand too if looked at properly.",0.95,Around 95%. Not many people have difficulty in understanding maths.
284,1b,BM,1,0.45,0,2,$.45 for banana ($2.90 - $2),1,0.1,1,0.1,"$.10.  Since a dollar was paid for the pencil, that leaves ten cents for the eraser.",,Absolutely confident since it's based on arithmetic principles,,I'm pretty sure my answer is correct.,0.04,"Should be relatively high, about 3/4, with a large fraction still unsure.",,At least half since this one has an easy solution.
285,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.9,90%,0.95,95%,0.6,60%,0.75,75%
286,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.95,95%,0.95,95%,0.6,60%,0.75,75%
287,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.95,95%
288,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.9,90%,0.95,95%,0.6,60%,0.75,75%
289,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.8,80,0.9,90
290,1b,BM,1,45,1,45,45 cents,1,10,1,10,10 cents,0.95,95%,0.95,95%,0.85,85%,0.9,90%
291,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.8,80%,0.95,95%,0.65,65%,0.7,70%
292,1b,BM,0,90,0,90,90 cents,1,10,1,10,10 cents,0.99,99%,1,100%,0.85,85%,0.95,95%
293,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.6,60%,0.95,95%
294,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90,0.95,95,0.35,35,0.8,80
295,1b,BM,1,0.45,1,0.45,$0.45,1,0.1,1,0.1,$0.10,0.8,80,0.95,95,0.6,60,0.75,75
296,1b,BM,1,0.45,1,0.45,0.45,1,0.1,1,0.1,0.1,0.95,95%,0.95,95%,0.6,60%,0.7,70%
297,1b,BM,1,0.45,1,0.45,The Banana costs $.45 cents.,1,0.1,1,0.1,$.10 cents (this answer is based on an incorrect interpretation),0.85,I feel pretty good about that response (confidence score is 85).,1,I am totally sure of my answer (confident score is 100).,,About half the people got it correct. (This response seems fairly accurate.),0.75,At least 75%.
298,1b,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$0.10,0.85,85,0.95,95,0.65,65,0.75,75
299,1b,BM,0,35,0,35,35 cents,1,0.1,1,0.1,$.10 (ten cents),0.87,87%,0.95,95%,0.62,62%,0.67,67%
300,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
301,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
302,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.8,80%
303,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
304,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
305,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75%,0.9,90%,0.3,30%,0.8,80%
306,2a,BM,1,0.45,1,0.45,Banana cost $.45 (I subtracted two from two ninety),1,0.1,1,0.1,Eraser cost $.10 (Subtracted one from one ten),1,"I am totally sure, so 100%.",1,"I am totally sure, so 100%.",0.7,70% or higher,0.95,95% or more
307,2a,BM,0,50,0,50,50 cents,1,10,1,10,10 cents,1,"I am totally sure, 100% confident.",1,"I am totally sure, 100% confident.",0.3,30%,0.6,60%
308,2a,BM,1,0.45,0,2,"$.45, since the Magazine would be $2.45 if it's $2 more expensive",1,0.1,1,0.1,"$.10, based on the same logic as before",1,100%,1,100%,0.75,"75%, assuming most people get that part right but some don't realize the price difference between the two items",0.6,"60%, since there might be confusion about whether or not they should subtract the pencil cost from the total cost"
309,2a,BM,1,0.45,1,0.45,"$.45 (I calculated it this way - If the mag is $2 more, then that's what we have left after buying a banana for x cents = 2.90 - .45 = $2.45 / 2 = $.92 + $.45)",1,0.1,1,0.1,$.10,0.8,80%,1,100%,0.4,40%,0.9,90%
310,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75,1,100,0.6,60,0.85,85
311,2a,BM,0,0.9,0,2,The banana costs $0.90 cents. The magazine being two dollars more expensive would thus be $2.00.,0,1.1,0,1.1,"Well, since the pencil already cost one dollar, and they asked for ""together"" meaning combined, then the eraser would logically be free since it was already paid for within the total cost of the items. If that is wrong, then the eraser costs ten cents because that would make $1.10 if added to the original price of the pencil.",0.95,I'm about 95% certain.,0.85,"I'd say I am about 85% certain due to having two possible answers. One which would lead me to think that it is free, while the other being a more conventional way to look at it, resulting in ten cents.",0.65,"I would estimate that about 75% of people will answer it right. It could possibly be as low as 65%, but not likely lower.",-0.7,"Considering that many may only see one solution rather than multiple possibilities, I would estimate that only around 60%-70% would get it correct."
312,2a,BM,1,0.45,1,0.45,The Banana Costs $.45 cents.,0,1,0,1,It would appear that if the Pencil Cost $1 then there wouldn't be any money left for the Eraser. Therefore the First Answer was wrong.,0.75,I am about 75 percent Sure.,1,100%.,0.3,Around 30%.,0.6,Probably around 60%
313,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$0.10,0.75,75%,0.95,95%,0.6,60%,0.85,85%
314,2a,BM,0,0.9,0,1.1,"The Banana cost .90 cent. I think some people may get it wrong if they solve the problem algebraically instead of working backwards. So the price difference is $2. To make that difference, we take away 1 dollar from 2 dollars making the second item priced at $1 plus original banana cost of .90 which equals 1.90 dollars total. Thus the remaining balance would be just 1 dollar left on the first item, making it $2+1=$3 dollars total minus $1.90 spent leaving only 1.10 cents for change after payment has been rendered in full. Therefore since it can be determined how the payment went without taking more money from the wallet than required for the total price it's safe to say this scenario checks out mathematically even with an apparent discrepancy initially seeming too good to be true upon quick observation or surface level reasoning.",0,1,0,1,Oh that's another one where we need to think critically since most might just take away 1 dollar from $1.10 instead of realizing both objects don’t have equal values like with previous example. Here you subtract 1 dollar off the total leaving .10 cents and then add that back into pencil cost as payment towards eraser resulting in Eraser being only 1 cent. It checks out since again all money is accounted for without any extra change remaining or lacking required amount still needed after calculations were performed successfully completing transactions at both prices given by adding their values combined.,1,I am totally sure so therefore 100%.,1,"Yes indeed! Since I am aware of fallacies which sometimes occur during arithmetic exercises such as these ones I made sure there weren't any issues so yes, once more I can proudly proclaim myself being absolutely positive at a solid 100% here too.",1,"It's possible there could have been errors during data input so it might skew the results if those got included somehow, but based on the correct answer given above, perhaps close to 99% or even 100%. This particular math question seems straightforward and easy to solve, thus probably wouldn’t trip many individuals up who pay close attention while computing.",0.65,"With regards to difficulty level, perhaps around 65% would solve this one correctly. Sure enough, many wouldn’t notice the need to add some small value back into the original price unlike first scenario due to its subtle nature presenting more room for potential errors while working through these types of problems compared to simpler versions earlier on."
315,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.85,85%
316,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.8,80
317,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.75,75,0.85,85
318,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100,1,100,0.6,60,0.8,80
319,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,1,100%,1,100%,0.75,75%,0.95,95%
320,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.75,75,0.99,99,0.5,50,0.8,80
321,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.65,65%,0.99,99%,0.3,30%,0.7,70%
322,2a,BM,0,0.9,0,0.9,0.90,1,0.1,1,0.1,0.10,1,100,1,100,0.5,50,0.8,80
323,2a,BM,0,0.7,0,0.7,0.70,1,0.1,1,0.1,0.10,1,100,1,100,0.5,50,0.5,50
324,2a,BM,1,0.45,1,0.45,$.45 (This answer shows that the participant used subtraction.),1,0.1,1,0.1,$.10 (This answer shows that the participant was able to solve this problem easily with simple addition.),1,100%,1,100%,0.6,60%,0.95,95%
325,2a,BM,0,2,0,2.9,"I know, it's a classic question that has been used in lots of research papers about cognitive biases. To answer this one, first we have to find out what the price of the magazine alone would be. So if the magazine costs $2 more than the banana, then the magazine would be priced at \$2+\text{price of banana}, right? Adding this to the \$2.90 total, we get:",0,1.1,1,0.1,"Okay, now let's try another one. If a pencil and an eraser together cost $\mathrm{\$1.10}$ and the pencil itself costs $\mathrm{\$1}$, then the eraser must be priced at $\mathrm{\$1.10}-\mathrm{\$1}=\mathrm{\$0.10}$. So the answer is \boxed{\mathrm{\$0.10}}.",0.009,"And so then we solve for the price of the banana by subtracting the price of the magazine from the total: $\$\mathrm{2.90}-\mathrm{\$2}=\mathrm{\$0.90}$. Thus, our final answer is that the banana costs \boxed{\mathrm{\$0.90}}.",-0.9,"Again, if I had to guess what percentage of people would get this right... Well, considering that this question doesn't involve any tricky language or confusing arithmetic operations, I'd say probably around 90-95%. But still, some people might mess up due to carelessness or misunderstanding, so maybe only about 80-90% will actually solve it correctly?",-0.7,"Oh, wait. This question says ""on a scale of 0% to 100%""... Well, I think that probably around 75-80% of people can solve this problem without making any mistakes. But since some might still have trouble with the concept of $x$ being $\text{""cost more than""}y""$ or something like that, perhaps only about 60-70% will actually give the correct answer? I don't know. Maybe I'm overthinking it again.",,"Hmmm... You know, come to think of it, maybe my estimates were too low before. After all, these aren't exactly difficult problems, and most people have seen similar ones before. Perhaps I should revise my answers."
326,2a,BM,0,65,0,65,65 cents,1,10,1,10,10 cents,0.75,75,0.5,50,0.33,33,0.28,28
327,2a,BM,1,0.45,1,0.45,$.45,1,0.1,1,0.1,$.10,0.9,90%,0.98,98%,0.8,80%,0.96,96%
328,2a,BM,1,0.45,1,0.45,The Banana Costs $.45,1,0.1,1,0.1,.10,1,100%,0.9,90%,0.33,33%,0.88,88%
329,2a,BM,1,0.45,1,0.45,"I know what I usually do, but let me take my time with it this time... $0.45",0,0.05,0,0.05,Um.... I don't really know - $.05???,-0.3,"I think I did something wrong - because that's what my phone said, so I have about 15-30% confidence...",-0.5,"Hmm... Yeah, maybe 25-50%, tops...",0.45,Ehhhhh - maybe only half the people... Like around 45% or something...,0.65,"Uhh, again, probably just a little over 50%. 65%, maybe?"
330,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
331,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
332,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
333,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.75,75%,0.95,95%
334,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100,1,100,0.3,30,0.5,50
335,2b,PE,1,0.05,1,0.05,.05,1,0.9,1,0.9,.90,1,100,1,100,0.7,70,0.5,50
336,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,1,100%,1,100%
337,2b,PE,1,0.05,1,0.05,$.05 cents,1,0.9,1,0.9,$.90 cents,1,100,1,100,0.5,50,0.5,50
338,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.6,60%,0.75,75%
339,2b,PE,1,0.05,0,1.05,The eraser costs $.05 and the pencil costs $1.05,1,0.9,1,0.9,The banana costs $.90,0.9,90%,1,100%,0.2,20%,0.5,50%
340,2b,PE,0,10,0,1,The eraser must be 10 cents if the pencil is a dollar more expensive so $1.10 minus $.10 for the eraser equals $1 for the pencil.,1,0.9,1,0.9,0.90,0.98,"That's just simple subtraction, so I'd say I'm like a 98% confident.",0.85,"I'm pretty confident, like an 85%.",-0.65,"Hmm...I guess about 60-65% of them will probably solve it right, because people tend to overlook the last line.",0.75,"Probably like 75%, most people would know that."
341,2b,PE,1,0.05,1,0.05,"$.05, if the pencil was a dollar more then the eraser would be a nickel.",1,0.9,1,0.9,"$0.90, because 2 dollars is subtracted from the total which leaves $0.90 for the banana.",0.85,"85%, because the math seems simple enough and all the information needed was given, so it should be easy for anyone to figure out.",0.75,"75%, I am pretty sure that is right, but my friend who helped me on another survey question said the same problem can have a different answer so now I'm a little skeptical about this one.",0.95,"95%, everyone knows how to do basic subtraction and multiplication, I think almost everyone who answers gets this right.",0.75,"75%, since that seems like an obvious correct answer and most people wouldn't give an incorrect answer intentionally."
342,2b,PE,1,5,1,5,5 cents,1,0.9,1,0.9,.90 cents,0.7,70%,1,100%,0.65,65%,0.85,85%
343,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$0.90,1,100,1,100,0.98,98,0.75,75
344,2b,PE,0,1,0,1.05,"Well...the first question was kind-of similar, but used money values for a magazine and banana. I had thought that maybe money might follow a specific logic of sorts--it did with regard to subtraction....$1 plus an amount greater or less would still yield whole dollar values only....not so here as $1.00 is involved along with smaller decimal portions. However...given the ""costs $1 more,"" we are still working within integer values even if they are smaller ones than found on the dollar scale (involving dollars and cents). I didn’t really think hard, it took all of one minute and this is what occurred: P + E = 1.1; and P= E+1 ...from those two equations, we find E = .05; which checks out with both equations, because now, P = 1.05 ...so there you have it...but just realized it says the “eraser costs",1,90,0,5,90 cents or 9/10ths or .9 or just .90 because they are different ways to write out a single concept...just as one would not say that '5' (written out as the number 5) is more than 'five.',0.75,"75%. Maybe this has some math logic reason where it won’t hold true when tested but for my initial response it was intuitive, quick & felt pretty sure...then thought about the possibility of different outcomes...I wonder how others will respond",1,100 percent,,"Probably lower percentages than the previous problem--less people seem to be mathematically inclined (at least based upon self-reports when they include things like ""hate algebra/math,"" ""bad at numbers/equations etc."")",0.33,"I don’t know...perhaps 33%. Not knowing anything about those responding here...that percentage might change if the respondents were, for example, first year psychology students! But who knows. I might be totally wrong. If asked to predict percentages from some demographic sampling study, my answer would have been quite different...but that isn't relevant here so no point in attempting a guess."
345,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
346,2b,PE,1,0.05,1,0.05,$.05,1,0.9,1,0.9,$.90,1,100%,1,100%,0.8,80%,0.75,75%
